"n","dates","x","y","mag","event_id","Cluster_Number","cluster_ref","ms_ref","sig.mag","optional"
409,60220800,15.8,40.5,4.57,409,0,0,0,0.27,TRUE
410,60998400,11.3,45.0833,4.14,410,0,0,0,0.23,TRUE
411,61862400,12.75,43.3167,4.26,411,0,0,0,0.4,TRUE
413,64540800,8.2,44.2,4.16,413,56,0,1,0.26,TRUE
417,66009600,13.4333,43.7167,4.57,417,57,0,1,0.25,TRUE
428,68169600,15,42,4.32,428,58,0,1,0.22,TRUE
430,69980400,14.9797,35.7994,4.57,430,0,0,0,0.2,TRUE
431,70671600,9.5333,44.45,4.07,431,0,0,0,0.28,TRUE
432,72313200,17.2327,42.941,4.46,432,0,0,0,0.26,TRUE
435,77324400,13.6,43.65,4.67,435,59,0,1,0.19,TRUE
437,78274800,15.9927,43.9648,4.29,437,0,0,0,0.28,TRUE
438,78274800,10.2,44.6,4.06,438,0,0,0,0.28,TRUE
439,82335600,15.6167,40.3333,4.09,439,0,0,0,0.25,TRUE
440,83977200,18,38,4.34,440,0,0,0,0.23,TRUE
441,84668400,17.4118,36.5947,4.07,441,0,0,0,0.26,TRUE
442,85878000,17.2608,43.1848,4.35,442,0,0,0,0.28,TRUE
443,87174000,7.3,46.1667,4.24,443,0,0,0,0.23,TRUE
444,88815600,9.9167,44.4167,4.93,444,0,0,0,0.16,TRUE
445,89683200,10.5333,44.6333,4.07,445,0,0,0,0.38,TRUE
446,90979200,16.9114,36.5153,4.16,446,0,0,0,0.26,TRUE
450,91584000,13.2667,42.9,5.22,450,61,0,1,0.18,TRUE
452,91929600,13.2,44,4.5,452,0,0,0,0.2,TRUE
454,94262400,12.9667,37.6,4.16,454,62,0,1,0.24,TRUE
456,96681600,15.8,40.1,4.24,456,0,0,0,0.23,TRUE
457,103503600,16.9833,39.1,4.57,457,0,0,0,0.21,TRUE
458,104022000,12.8,43.4,4.48,458,0,0,0,0.28,TRUE
459,104108400,10.2167,43.5333,4,459,0,0,0,0.34,TRUE
460,104367600,12.7,44,4.36,460,0,0,0,0.28,TRUE
461,105058800,17.2112,42.7336,4.7,461,0,0,0,0.28,TRUE
462,105663600,9.6833,45.5667,4.45,462,0,0,0,0.28,TRUE
463,108082800,9.4833,44.6667,4.2,463,0,0,0,0.28,TRUE
464,108169200,12,45.7,4.03,464,0,0,0,0.28,TRUE
465,110502000,13.3,44.1,4.06,465,0,0,0,0.28,TRUE
466,111020400,9.5333,46.7667,4.44,466,0,0,0,0.23,TRUE
467,112230000,12.7,44.1,4.12,467,0,0,0,0.28,TRUE
468,113180400,15.1333,37.6333,4.5,468,0,0,0,0.34,TRUE
469,113612400,15.4147,40.7205,4.83,469,63,0,1,0.19,TRUE
473,117414000,13,37.7,4.3,473,0,0,0,0.34,TRUE
